1,ADA,EUR,Y,10.0,1.15,0.02,0.005,0.1,0,2022-03-01 00:00:00
2,ADA,EUR,Y,10.0,1.13,0.03,0.0075,0.1,0,2022-03-01 00:00:00
3,ADA,EUR,Y,10.0,1.11,0.02,0.005,0.1,0,2022-03-01 00:00:00
4,ADA,EUR,Y,10.0,1.0722,0.03,0.0075,0.1,2,2022-04-04 19:45:22
5,ADA,EUR,N,25.0,1.0631,0.02,0.0075,0.1,4,2022-04-03 16:02:50
6,ADA,EUR,N,25.0,1.0573,0.02,0.005,0.1,2,2022-04-01 17:13:28
7,ADA,EUR,N,10.0,1.03,0.03,0.0075,0.1,0,2022-03-01 00:00:00
8,ADA,EUR,N,10.0,1.01,0.02,0.005,0.1,0,2022-03-01 00:00:00
9,DENT,EUR,N,10.0,0.0030156,0.02,0.005,0.1,2,2022-04-01 16:16:32
10,DENT,EUR,N,10.0,0.0029228,0.03,0.0075,0.1,2,2022-04-01 10:50:53
11,DENT,EUR,N,10.0,0.0029004,0.02,0.05,0.1,2,2022-04-01 23:54:37
12,DENT,EUR,N,10.0,0.0029228,0.03,0.0075,0.1,2,2022-04-01 10:50:54
13,DENT,EUR,N,10.0,0.0028,0.03,0.005,0.1,0,2022-03-01 00:00:00
14,HOT,EUR,Y,25.0,0.0062379,0.02,0.0075,0.1,10,2022-04-04 11:32:03
15,HOT,EUR,Y,15.0,0.0058331,0.0225,0.0025,0.1,14,2022-04-04 19:44:26
16,HOT,EUR,Y,15.0,0.0058705,0.025,0.005,0.1,12,2022-04-04 19:44:37
17,HOT,EUR,Y,15.0,0.0058331,0.02,0.0025,0.1,12,2022-04-04 19:44:27
18,HOT,EUR,N,15.0,0.005926,0.0275,0.0075,0.1,3,2022-04-03 09:21:36
19,HOT,EUR,N,15.0,0.0057467,0.02,0.0025,0.1,2,2022-04-01 06:04:35
20,HOT,EUR,N,10.0,0.0057,0.02,0.005,0.1,0,2022-03-01 00:00:00
22,HOT,EUR,N,10.0,0.00565,0.02,0.0025,0.1,0,2022-03-01 00:00:00
22,HOT,EUR,N,10.0,0.0056,0.02,0.0075,0.1,0,2022-03-01 00:00:00
23,WIN,EUR,Y,15.0,0.00033593,0.02,0.005,0.1,4,2022-04-02 14:07:36
24,WIN,EUR,Y,15.0,0.00034249,0.02,0.0075,0.1,4,2022-04-02 10:10:26
25,WIN,EUR,Y,15.0,0.00033516,0.025,0.0075,0.1,4,2022-04-02 14:18:58
26,WIN,EUR,N,10.0,0.0003,0.025,0.005,0.1,0,2022-03-01 00:00:00
27,WIN,EUR,N,10.0,0.000293,0.02,0.0075,0.1,0,2022-03-01 00:00:00
28,WIN,EUR,N,10.0,0.000287,0.025,0.0075,0.1,0,2022-03-01 00:00:00
29,WIN,EUR,Y,25.0,0.0003293,0.0275,0.0075,0.1,2,2022-04-04 13:11:13
30,XRP,EUR,N,10.0,0.75,0.03,0.0075,0.1,0,2022-03-1 00:00:00
31,XRP,EUR,N,10.0,0.75,0.02,0.0025,0.1,0,2022-03-01 00:00:00
32,ZRX,EUR,Y,10.3,0.7753,0.03,0.0075,0.1,1,2022-04-04 12:15:45
33,ZRX,EUR,Y,10.0,0.77125,0.02,0.0025,0.1,1,2022-04-04 12:13:05
34,BTC,EUR,Y,25.0,41608.0,0.02,0.0025,0.1,2,2022-04-04 02:28:19
